name,label,label_raw
Q13_1,Hindered goal ... Family,The following activities contributed to not meeting my goal (please choose all that apply): - Selected Choice Family
Q13_2,Hindered goal ... Friends,The following activities contributed to not meeting my goal (please choose all that apply): - Selected Choice Friends
Q13_3,Hindered goal ... Significant other,The following activities contributed to not meeting my goal (please choose all that apply): - Selected Choice Significant other
Q13_4,Hindered goal ... School,The following activities contributed to not meeting my goal (please choose all that apply): - Selected Choice School
Q13_5,Hindered goal ... Work,The following activities contributed to not meeting my goal (please choose all that apply): - Selected Choice Work
Q13_6,Hindered goal ... Stress,The following activities contributed to not meeting my goal (please choose all that apply): - Selected Choice Stress
Q13_7,Hindered goal ... Depression,The following activities contributed to not meeting my goal (please choose all that apply): - Selected Choice Depression
Q13_8,Hindered goal ... Boredom,The following activities contributed to not meeting my goal (please choose all that apply): - Selected Choice Boredom
Q13_9,Hindered goal ... Tiredness,The following activities contributed to not meeting my goal (please choose all that apply): - Selected Choice Tiredness
Q13_10,Hindered goal ... Social pressure,The following activities contributed to not meeting my goal (please choose all that apply): - Selected Choice Social pressure
Q13_11,Hindered goal ... Availability of the substance,The following activities contributed to not meeting my goal (please choose all that apply): - Selected Choice Availability of the substance
Q13_12,Hindered goal ... Unstable Housing,The following activities contributed to not meeting my goal (please choose all that apply): - Selected Choice Unstable Housing
Q13_13,Hindered goal ... Other,The following activities contributed to not meeting my goal (please choose all that apply): - Selected Choice Other
Q13_13_TEXT,Hindered goal ... Free text,The following activities contributed to not meeting my goal (please choose all that apply): - Other - Text
Q14,Comments to Q12,"Do you have any comments about the prior question (""The following activities helped me to meet my goal""); is anything unclear or confusing, or are any answer choices missing that should be included?"
Q15,Comments to Q13,"Do you have any comments about the prior question (""The following activities contributed to not meeting my goal""); is anything unclear or confusing, or are any answer choices missing that should be included?"
Q16,"My urge/craving to use tobacco, alcohol, or drugs today has been:","My urge/craving to use tobacco, alcohol, or drugs today has been:"
Q17,I've been feeling relaxed.,I've been feeling relaxed.
Q18,I've been feeling cheerful.,I've been feeling cheerful.
Q19,I've been thinking clearly.,I've been thinking clearly.
Q20,How worried are you today?,How worried are you today?
Q21,How sad are you today?,How sad are you today?
Q22,How much pain are you in today?,How much pain are you in today?
Q23,How did you sleep last night?,How did you sleep last night?
Q24,How annoyed are you today?,How annoyed are you today?
Q25,How tired are you today?,How tired are you today?
Q26,I've had energy to spare...,I've had energy to spare...
Q27,I've been dealing with problems well...,I've been dealing with problems well...
Q28,How are you doing with your work today?,How are you doing with your work today?
Q29,How are you doing with your daily routine today?,How are you doing with your daily routine today?
Q30,Are you able to join in with activities today?,Are you able to join in with activities today?
Q31,I've been feeling close to other people.,I've been feeling close to other people.
Q33,I've been feeling loved.,I've been feeling loved.
Q35,I've been interested in other people.,I've been interested in other people.
Q36,I've been feeling useful.,I've been feeling useful.
Q37,I've been feeling good about myself.,I've been feeling good about myself.
Q38,I've been feeling confident.,I've been feeling confident.
Q39,I've been feeling optimistic about the future.,I've been feeling optimistic about the future.
Q40,"My urge/craving to use alcohol, tobacco, or drugs has been...","My urge/craving to use alcohol, tobacco, or drugs has been..."
Q41,What is your gender?,What is your gender?
Q42,What is your race?,What is your race?
Q43,What is your ethnicity?,What is your ethnicity?
Q44,What is your class standing?,What is your class standing?
